p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.54546660465556	0.796	0.143	0	0	Slc6a1
0	1.44577494450196	0.849	0.21	0	0	Slc6a11
0	1.43986087594407	0.664	0.116	0	0	Slitrk2
0	1.63388852054376	0.926	0.286	0	0	Slmap
0	1.69432119473725	0.897	0.164	0	0	Sox2
0	1.63333393485717	0.884	0.189	0	0	Sox9
0	1.58648246451611	0.992	0.347	0	0	Sparc
0	2.30006392331502	0.976	0.227	0	0	Spc25
0	1.76770211312885	0.937	0.183	0	0	Spon1
0	1.64863278483346	0.943	0.235	0	0	Synpr
0	0.678409021734842	0.88	0.266	0	0	Timp3
0	1.24951423110565	0.768	0.186	0	0	Tmem176b
0	1.45160861354986	0.758	0.142	0	0	Tox3
0	1.73160603927564	0.978	0.25	0	0	Trpm3
0	1.34479879076542	0.858	0.226	0	0	Tsc22d4
0	1.22365436113489	0.988	0.615	0	0	Tspan3
0	1.56761993909606	0.832	0.192	0	0	Utp14b
0	1.43452532895187	0.962	0.28	0	0	Vim
0	1.10848473783693	0.83	0.235	0	0	Zfp36l1
4.94065645841247e-324	1.25408709294808	0.728	0.167	9.20839550718915e-320	0	Sorl1
5.87740492292747e-320	0.833395190834161	0.808	0.247	1.09543072953522e-315	0	Crip2
2.06825760662063e-319	1.28063645432913	0.7	0.153	3.85481852721952e-315	0	Slc15a2
8.19038361931183e-317	1.04074203495682	0.957	0.419	1.52652369896734e-312	0	Epb41l2
2.30473365872924e-314	1.23481692940663	0.834	0.267	4.29556259313955e-310	0	Enho
7.14108451404179e-314	1.17459966004921	0.788	0.221	1.33095533172711e-309	0	Hopx
7.67573546249589e-314	0.666149677904456	0.809	0.248	1.43060357549998e-309	0	Rbp1
3.85832182013457e-313	1.22074057375846	0.786	0.223	7.1911402083668e-309	0	Ctnnbip1
4.54549350423052e-313	1.2873635993195	0.712	0.163	8.47189079318484e-309	0	E130114P18Rik
5.38837582032298e-313	1.17916855279921	0.846	0.277	1.0042854853918e-308	0	Add3
2.12945635503176e-312	1.16588623479703	0.703	0.158	3.96888075450819e-308	0	Gas1
6.56079549524974e-312	1.16322967133618	0.68	0.142	1.22280106440465e-307	0	Dpysl4
4.37909118529327e-310	1.30166002623374	0.585	0.094	8.1617501511496e-306	0	Bmp3
7.67101316026853e-309	1.24488527999284	0.753	0.2	1.42972343281085e-304	0	Chst2
1.64129569220495e-307	1.28562591676493	0.749	0.201	3.05904691113159e-303	0	Kcnk1
2.30229012510054e-304	1.21250914156497	0.87	0.321	4.29100833516239e-300	0	Myo6
4.71722641036251e-304	1.23548045841834	0.702	0.166	8.79196658363365e-300	0	Ddah2
5.48122061038068e-304	1.07217331470115	0.778	0.22	1.02158989736275e-299	0	Clic1
2.01296929711359e-303	1.21371323421192	0.635	0.121	3.7517721759603e-299	0	Pdlim4
1.39000521139768e-302	1.19226044119155	0.637	0.121	2.590691713003e-298	0	Kcnj10
2.51877558887227e-302	1.21356343343817	0.855	0.299	4.69449394254013e-298	0	Six6
3.71894421837651e-301	1.15359554014168	0.798	0.239	6.93136823421014e-297	0	Crb1
2.83797729034852e-299	1.24147072778979	0.725	0.185	5.28942207375157e-295	0	Wipi1
2.89814719321993e-299	1.40183389440297	0.627	0.118	5.4015667387233e-295	0	Etnppl
4.21579832501335e-298	1.19517482625292	0.692	0.16	7.85740491815989e-294	0	Nt5dc2
1.02260654495139e-297	1.2153583501623	0.682	0.154	1.9059340784804e-293	0	Gstt1
1.04905358978996e-296	1.15249395416095	0.743	0.198	1.95522608065053e-292	0	Gsta4
2.38087965944693e-296	1.20906222161979	0.599	0.106	4.43748350927719e-292	0	Frzb
3.3204476001231e-295	1.19448857103103	0.701	0.167	6.18865023710943e-291	0	S1pr1
5.74980835875238e-293	1.1927298342888	0.628	0.123	1.07164928190427e-288	0	Shisa9
1.86825889106197e-289	1.06027133164623	0.942	0.434	3.4820609211613e-285	0	Laptm4a
2.32630442444004e-289	1.15786149550476	0.788	0.243	4.33576618627134e-285	0	Lsamp
4.3964771503706e-288	1.14404146710171	0.74	0.203	8.19415411286073e-284	0	Ccnd3
1.71732195527227e-286	1.0468162795293	0.712	0.18	3.20074466023646e-282	0	Nbl1
2.09160928810286e-285	1.19821977410254	0.601	0.113	3.8983413911661e-281	0	Rgs6
4.71635642728736e-284	1.05992893496702	0.781	0.238	8.79034510917818e-280	0	Timp2
3.97646019512494e-283	0.99759163464691	0.767	0.228	7.41132651167387e-279	0	Anxa5
8.35520621065516e-281	1.1697946216128	0.559	0.093	1.55724333354191e-276	0	Scara3
7.35761970854063e-279	1.07350370689791	0.908	0.392	1.3713131612778e-274	0	Msi1
2.07731406748953e-273	1.07989428505835	0.671	0.161	3.87169795898699e-269	0	S100a6
2.482099801405e-271	1.00042916425041	0.708	0.189	4.62613760985864e-267	0	Ctsh
1.50383358682148e-269	1.14333156626908	0.59	0.116	2.80284503911788e-265	0	Col2a1
6.66026543745963e-269	1.1247124607819	0.619	0.134	1.24134027223373e-264	0	Tnfaip8
2.05980969395721e-267	1.12848940806656	0.637	0.147	3.83907330759746e-263	0	Gpx8
1.23355909770945e-266	1.08672017579738	0.629	0.138	2.29910744631088e-262	0	Ildr2
5.03230688336201e-265	1.13216243724034	0.591	0.119	9.37921356921011e-261	0	Tmem47
2.83661548227471e-264	1.14546995321561	0.639	0.154	5.2868839358636e-260	0	Gbe1
1.18224327718775e-263	1.19183576675162	0.653	0.155	2.20346502002253e-259	0	Rgs2
3.76696469065794e-263	1.03008582463875	0.719	0.204	7.02086879044826e-259	0	Rhoc
1.87620429962727e-262	0.910520264465731	0.804	0.28	3.49686957364531e-258	0	Nfib
7.45775904899564e-260	1.09926834848437	0.615	0.135	1.38997713155181e-255	0	Hmx1
2.24583415197223e-259	1.14997775638556	0.54	0.095	4.18578569244584e-255	0	Sox8
3.30382368327118e-259	1.11493783730337	0.671	0.173	6.15766658088082e-255	0	S100a10
1.85125943068872e-258	1.16526289002566	0.814	0.31	3.45037732691763e-254	0	Ap4s1
7.68362704311844e-255	1.07440179472149	0.648	0.159	1.43207440829642e-250	0	Mmd2
1.73587918555891e-253	1.07910918709134	0.523	0.087	3.23533162604469e-249	0	AW047730
4.29507821118631e-253	1.1547326071694	0.591	0.126	8.00516677000904e-249	0	Nlgn1
7.35733756264762e-253	1.13999092992036	0.855	0.361	1.37126057492626e-248	0	Tubb4b
5.76401124867897e-251	1.15528770986642	0.543	0.103	1.07429641652879e-246	0	Chrdl1
2.33169849489236e-250	1.08365634161518	0.684	0.188	4.34581965478039e-246	0	Pbxip1
2.99662835777098e-250	0.978023343492532	0.937	0.484	5.58511593321356e-246	0	Mxra7
7.42247894737697e-250	0.983280123594419	0.748	0.241	1.38340162621212e-245	0	Zfp36l2
2.89504982975142e-248	1.09405823369746	0.667	0.182	5.3957938726907e-244	0	Phlpp1
6.51954401824111e-248	1.13005610339092	0.511	0.09	1.21511261411978e-243	0	Greb1
1.69818433917663e-245	1.10119524870695	0.548	0.111	3.16507597135741e-241	0	1810010H24Rik
1.94125024156935e-245	1.12607170239909	0.628	0.159	3.61810220023696e-241	0	Creb3l2
6.4477926814048e-244	1.12712388294372	0.5	0.083	1.20173959996023e-239	0	Rmst
3.19711063837057e-243	1.04468893614485	0.725	0.225	5.95877480779506e-239	0	Minar2
5.7952036584894e-242	1.07045222293301	0.667	0.183	1.08011005786925e-237	0	C130071C03Rik
1.1421030151965e-241	1.07249928181981	0.532	0.102	2.12865159972324e-237	0	Gldc
3.97219899233387e-241	1.10547921626571	0.521	0.096	7.40338448191187e-237	0	Qrfpr
2.7948166949886e-237	0.980249148506954	0.669	0.186	5.20897935611975e-233	0	Cotl1
1.99252605900511e-236	1.12225201012632	0.544	0.111	3.71367006877373e-232	0	Adam23
2.98412656965739e-234	1.0840205253552	0.695	0.212	5.56181510052745e-230	0	Dach1
6.38729715668774e-233	0.953451884372253	0.658	0.182	1.19046444406346e-228	0	Sulf1
9.16544671252031e-233	0.8971226533673	0.818	0.321	1.70825595827953e-228	0	Sorbs2
1.15683175822173e-232	1.0043365545514	0.591	0.137	2.15610303097366e-228	0	Adamtsl1
1.44679135863502e-232	1.09389573368352	0.543	0.117	2.69652973422395e-228	0	Tcf7l2
2.06341521322806e-232	1.03028123145985	0.636	0.17	3.84579327441445e-228	0	Acaa2
3.03166073768146e-232	0.892145665377998	0.883	0.397	5.65040928289071e-228	0	Tgfb2
6.75878560910372e-231	1.07200718549911	0.523	0.103	1.25970246182475e-226	0	Mir100hg
1.1846512454138e-230	0.988084145148913	0.534	0.106	2.20795299120224e-226	0	Sorcs1
1.91535431059798e-230	1.01690190964211	0.708	0.223	3.56983736409251e-226	0	Nrcam
9.58814107853864e-229	1.08614816966384	0.58	0.136	1.78703773421803e-224	0	Sema5a
4.6759019510834e-228	0.80814788055006	0.665	0.205	8.71494605642923e-224	0	Cebpd
7.44200829763496e-228	1.07682651728895	0.579	0.14	1.3870415065132e-223	0	Cyp2d22
7.45278478688e-226	0.697034144668819	0.685	0.23	1.38905002857869e-221	0	Id3
1.1187955208562e-225	0.945411614131156	0.836	0.35	2.08521109177179e-221	0	Stmn1
6.47829299192259e-225	1.00633728867207	0.475	0.079	1.20742424783453e-220	0	Gm3764
6.99014294660998e-225	0.933986662946983	0.781	0.293	1.30282284238917e-220	0	Oat
4.11042672487826e-224	1.03896468686981	0.646	0.184	7.6610133298281e-220	0	Tspan15
1.87321206379161e-223	0.886199014081659	0.645	0.18	3.49129264449481e-219	0	Cyba
1.58950972073266e-221	0.994880658605942	0.622	0.165	2.96252821750153e-217	0	Tns3
6.0205295624078e-221	1.49535820263065	0.548	0.119	1.12210629984157e-216	0	Hes5
1.07216381040175e-220	0.989732687126138	0.529	0.11	1.99829890982679e-216	0	Psat1
1.8898518129816e-220	1.04997511046843	0.552	0.128	3.5223058090351e-216	0	Celsr2
6.46927682712244e-220	1.00581042014607	0.554	0.127	1.20574381503908e-215	0	Rcn1
1.60938954411893e-219	1.160450667292	0.597	0.151	2.99958023232886e-215	0	Nupr1
1.68683733046059e-219	0.954566388503539	0.698	0.224	3.14392741651245e-215	0	Mgll
2.78506899781349e-218	1.02259467518964	0.569	0.135	5.19081159812479e-214	0	Cdon
3.7285047230332e-217	0.989490523091782	0.612	0.164	6.94918710278928e-213	0	Psph
1.26122255803381e-215	0.991167456913238	0.486	0.091	2.35066660366341e-211	0	Cacng4
1.51984899594037e-214	0.776205953800783	0.977	0.585	2.83269455863367e-210	0	Ttyh1
4.59740796532636e-214	0.878368672039766	0.817	0.34	8.56864896577527e-210	0	Qk
8.12031994829403e-213	0.860114833381404	0.824	0.352	1.51346523196304e-208	0	Sept4
1.34537849831716e-211	0.825861065312108	0.688	0.224	2.50751644516353e-207	0	Aldh2
1.80437967767225e-211	0.944086317778572	0.596	0.156	3.36300284324555e-207	0	Slc27a1
3.19761533835857e-211	0.988158038113427	0.575	0.147	5.95971546763271e-207	0	Acadl
6.24262761997924e-211	0.965397690569699	0.683	0.221	1.16350093581173e-206	0	Tox2
7.30899366744668e-211	0.913443954165451	0.775	0.304	1.36225023973871e-206	0	Crlf3
2.39551918247508e-210	1.01074595626284	0.474	0.088	4.46476865229705e-206	0	Folh1
2.96273820385203e-210	1.05072471494086	0.519	0.113	5.52195146433942e-206	0	Olfm2
6.60236550959497e-210	1.0021823104565	0.56	0.139	1.23054888367831e-205	0	Ttyh3
6.95534467676336e-210	0.988154361108161	0.579	0.15	1.29633714085516e-205	0	Ctso
1.60289500027449e-209	0.993431219433215	0.582	0.15	2.9874757015116e-205	0	Ass1
7.51660761456797e-209	0.987314705747665	0.553	0.131	1.40094532720318e-204	0	Cox6b2
3.13373254961247e-208	1.02610556640453	0.702	0.242	5.84065072596773e-204	0	Trim9
9.75939499727546e-208	0.854228206095335	0.632	0.184	1.8189560395922e-203	0	Crim1
6.47416850495151e-207	0.847701080275742	0.967	0.591	1.20665552595286e-202	0	Rorb
2.50576980065389e-206	0.925974621992586	0.493	0.1	4.67025375445873e-202	0	Efhd1
6.13658584758345e-206	1.0208694460139	0.543	0.128	1.1437368702726e-201	0	Slc7a8
9.70560659752249e-206	0.882452573692584	0.726	0.26	1.80893095764624e-201	0	Ddah1
1.42777225769348e-205	1.01926046540884	0.629	0.19	2.66108193388911e-201	0	Neo1
1.98409368407057e-205	1.02766794409118	0.607	0.168	3.69795380837072e-201	0	Id2
1.11171946598933e-204	0.980252498533971	0.567	0.144	2.07202274071091e-200	0	Dtna
1.35587599930169e-204	0.985312048833797	0.666	0.216	2.5270816874985e-200	0	Sipa1l1
3.77460494440924e-204	0.893585104730172	0.835	0.372	7.03510869538995e-200	0	Ncald
3.96949899451788e-204	0.940682796549956	0.429	0.068	7.39835222598242e-200	0	Pcolce2
4.09409095008015e-204	0.987779728360298	0.446	0.08	7.63056671275939e-200	0	St8sia2
4.84251394515756e-204	0.985520893703755	0.472	0.092	9.02547749098465e-200	0	Ephb1
9.66938047244464e-204	0.940430682230569	0.618	0.177	1.80217913245423e-199	0	Notch1
1.97230988804018e-203	0.960484717348074	0.545	0.132	3.67599116932928e-199	0	Cdc14a
4.80391708316051e-202	0.96082845137682	0.572	0.15	8.95354065959455e-198	0	Lrrc42
6.86625591332859e-202	0.702647226619622	0.997	0.862	1.27973277712618e-197	0	Bsg
2.51168432822492e-201	0.978498651326457	0.425	0.068	4.6812772509456e-197	0	Tff2
7.18706271688256e-200	0.900601306952189	0.755	0.295	1.33952474917257e-195	0	Snx10
8.95392875529596e-200	0.939391951526725	0.791	0.329	1.66883324141206e-195	0	Pak3
3.60317518800086e-198	0.963727906231205	0.547	0.139	6.71559791539601e-194	0	Pmp22
1.3462058000476e-196	0.949816204077885	0.502	0.114	2.50905837012872e-192	0	Fgfr1
4.40108213208985e-195	0.924508018175127	0.734	0.286	8.20273687778905e-191	0	Ptpra
7.65796517571365e-194	1.00929092310828	0.483	0.102	1.42729154944951e-189	0	Mdk
2.77874445835344e-193	0.981595715824371	0.594	0.174	5.17902392147915e-189	0	Sash1
8.57486359745964e-192	0.926044410142463	0.499	0.111	1.59818307729453e-187	0	Mgst1
5.37036691542511e-191	0.831723934857709	0.708	0.26	1.00092898569693e-186	0	Atp6v0e
3.96715508267222e-190	0.839942149703647	0.908	0.5	7.39398364308449e-186	0	Ppp3ca
1.7497797144716e-189	0.882072954694065	0.632	0.2	3.26123943183217e-185	0	Gm1673
2.99348608403868e-188	0.886977846147094	0.661	0.223	5.57925936343129e-184	0	Eno1b
5.79141811446497e-188	0.764021163940432	0.967	0.649	1.07940450817398e-183	0	Selenof
